x1,x2,G,F1,F2,F3,F4
144.7734291,67.27763276,-0.11146804,96.33545273,125.797428,18.05086251,82.88731559
143.7819016,137.2047934,-0.66185109,128.0613957,94.65073894,87.4262017,14.22610483
50.0057634,145.0524146,-5.132913857,95.05241473,4.947588802,137.9630707,100.1165618
59.74475992,57.2474344,-1.066304229,12.14436706,93.2630622,90.54575455,129.4181084
52.81679701,53.95052471,-4.311509674,4.851905899,96.09076984,97.26346482,136.6384889
55.39710526,50.00248009,-4.948133258,5.397105828,100.1430613,94.60289477,137.6561356
133.1158995,52.18391149,-0.882687087,83.14458619,128.3598065,17.0247561,99.26258118
146.8535075,58.97409441,-2.453192579,97.26837252,132.9146998,9.509720569,91.08027176
50.85912055,53.93340484,-5.169340786,4.026134844,96.07043662,99.2188775,138.0496457
59.23453123,56.24984461,-1.445951736,11.15065579,94.20386512,90.98038733,130.4893174
149.9664576,147.9567763,-6.436690327,139.9600753,99.98733621,97.95678207,2.043498977
148.1378093,51.44733754,-5.827634492,98.14848142,139.0814758,2.358503776,98.5702543
54.82669893,51.81080612,-4.381462144,5.155195576,98.30775563,95.19052608,136.7445612
128.2189982,50.15191286,-0.609906329,78.21914574,126.8378973,21.78153153,102.1961474
55.21009491,149.872012,-4.967345574,100.007819,5.211666707,137.6936632,94.7899915
146.0435076,59.24829928,-2.111420301,96.4877525,132.1371504,10.05906915,90.83790517
52.37341864,143.4759761,-3.520680769,93.50610264,6.942334144,135.1617827,97.84432674
50.0246061,149.315362,-7.129522126,99.31536501,0.685080068,140.9206177,99.97773809
146.3523874,53.66713302,-4.089328854,96.42214695,136.2490507,5.172324645,96.40190008
140.8023122,52.95736973,-2.451265523,90.85045917,132.8997065,9.661443841,97.47753357
53.82700686,52.20240782,-4.61922133,4.415493371,97.87244259,96.19820793,137.1627269
52.37197238,55.19847434,-4.00566501,5.714051843,94.83119487,97.76633323,136.0829197
149.7100916,52.62014426,-6.03142083,99.7445112,139.3733786,2.636134075,97.38028728
141.4966681,52.20240782,-2.925753602,91.52317125,133.9253871,8.783920163,98.16657114
57.01149128,145.6140884,-2.635285417,95.87082411,8.270261802,133.3750976,93.09188458
145.178647,137.7846721,-1.125540406,129.480205,95.95930952,87.91697272,13.13239055
149.746153,55.45559521,-4.809890393,99.89523791,137.4334003,5.461497729,94.54474557
132.9675502,53.24483478,-0.588600844,83.0309782,127.4565667,17.33878019,98.24289462
51.12094386,144.0234194,-4.226548065,94.03010105,6.080791991,136.4458542,99.05951372
73.0956437,149.4695751,-0.33455276,102.1156458,23.10173389,125.7317636,76.9061855
125.3492536,149.4573226,-0.141344112,124.776877,75.35120782,102.4666693,24.65671908
146.9319827,53.65897447,-4.325856364,97.00101734,136.6652936,4.775020871,96.38986425
55.44852897,51.09157165,-4.443140692,5.556797337,99.05838514,94.55777177,136.8314944
94.50396498,116.0774997,-0.251712262,79.66705008,55.95836778,86.29047382,65.04264699
67.88280472,149.2473968,-1.090906733,100.845627,17.89863448,128.8149042,82.12064401
140.9908438,147.867195,-2.793805289,133.6312894,91.01583656,98.28098877,9.258172248
149.8237063,51.30762777,-6.729152946,99.83227046,140.3743448,1.319458168,98.69252969
127.5802778,51.46576361,-0.204826846,77.59412332,125.4101082,22.46758564,101.052658
50.0085568,130.7745797,-1.060434585,80.7745802,19.22542216,128.5411275,101.8229124
142.4939517,62.30890513,-0.470330079,93.30937923,127.4553225,14.4170006,88.01175421
54.89180819,146.6714646,-3.743567667,96.79515413,5.916834878,135.6132008,95.16641896
51.55136348,60.83769722,-2.462435246,10.94816924,89.17579809,99.04337289,132.82338
58.37630724,138.2431673,-0.392861509,88.63982792,14.43556852,127.2075377,92.37491105
149.0993992,143.5580966,-4.14402406,136.2857599,99.30855471,93.5624311,6.504552388
147.3366632,146.9902045,-4.764375931,137.4100643,97.38318579,97.02676501,4.018983944
143.8619445,62.30890513,-0.777463819,94.66558917,128.4515191,13.75444913,87.90565308
123.1560984,50.00152962,-0.024077244,73.15609838,123.9012058,26.84390168,103.5388291
149.9986667,68.88372706,-1.123501559,101.7660478,128.7617299,18.8837271,81.11627295
147.4544384,145.6646216,-4.269666217,136.5616615,97.55082299,95.69848328,5.027463587
123.7504192,50.13968541,-0.055046954,73.75055146,124.1418816,26.24995248,103.2527139
